name,slug,description,price,costPrice,wholesalePrice,compareAtPrice,images,category,sku,stock,isActive,isFeatured,showInPromotions,seoTitle,seoDescription,oemNumbers,attr_type,attr_ապրանքանիշ,attr_սեզոն,attr_լայնություն,attr_պրոֆիլ,attr_չափ,attr_տրամագիծ,vehicle_brand,vehicle_model,vehicle_yearFrom,vehicle_yearTo
,,,,,,,,Ամրակներ,C0105,0,այո,,,,,"7642589,4001934",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0106,0,այո,,,,,379830S,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0107,0,այո,,,,,91508SR3000,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0108,0,այո,,,,,"62380U7400,62325R8000",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0109,0,այո,,,,,"6384401A00,MNA0156145,NA0156145",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0110,0,այո,,,,,"9046709101,5253135010CO,5253135010O,9046709181A1",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0111,0,այո,,,,,9046709093,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0112,0,այո,,,,,91534SE0000,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0113,0,այո,,,,,34355SD2003,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0114,0,այո,,,,,"91501SG0003,75328SH3A01,75329SH4013",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0115,0,այո,,,,,"91502SN4000,91502SM4000,8659035000",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0116,0,այո,,,,,91504SM4000,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0117,0,այո,,,,,10077283,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0118,0,այո,,,,,0155306721,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0119,0,այո,,,,,9046709008,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0120,0,այո,,,,,,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0121,0,այո,,,,,7688257A00,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0122,0,այո,,,,,90505SM4003,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0123,0,այո,,,,,"91516SK7013,015530034U,0155300344",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0124,0,այո,,,,,904670616101,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0125,0,այո,,,,,"65832F5000,6584630F00",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0126,0,այո,,,,,"9018906018,82Z1608001",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0127,0,այո,,,,,91512SE0003,,,,,,,,,,,
